,companyFullName,city,companyLabelList,companySize,createTime,district,education,financeStage,firstType,industryField,positionAdvantage,positionLables,positionName,salary,workYear,,
0,光合新知（北京）科技有限公司,北京,"['产品领先行业', '关注学习本源', '明星跨界团队', '股票期权']",150-500人,2018-03-10 13:37:00,朝阳区,不限,C轮,开发/测试/运维类,"移动互联网,教育","年假15天,免费早午餐,技术氛围好,弹性不打卡","['中级', '全栈', 'php', 'Java']",Python,15k-30k,1-3年,,
1,北京旷视科技有限公司,北京,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']",500-2000人,2018-03-09 18:05:06,海淀区,本科,C轮,开发/测试/运维类,"移动互联网,硬件",平台好；福利多,"['后端开发', '后端', '爬虫', '测试平台']",python工程师,15k-30k,3-5年,,
2,杭州群核信息技术有限公司,杭州,"['两次加薪', '弹性工作', '期权丰厚', '两次晋升']",500-2000人,2018-03-08 18:24:03,拱墅区,本科,D轮及以上,开发/测试/运维类,移动互联网,期权激励、年度旅游、年终丰厚、零食水果,"['后端开发', 'Java', '系统开发', 'golang']",Python研发工程师,15k-23k,1-3年,,
3,深信服科技股份有限公司,深圳,"['三餐全包', '大牛超多', '年终奖超多', '大公司，稳定']",2000人以上,2018-03-09 15:36:24,南山区,本科,不需要融资,开发/测试/运维类,"信息安全,企业服务","平台大,发展快,待遇好,福利棒",['django'],Python软件开发工程师,15k-20k,1-3年,,
4,奇虎360科技有限公司,北京,[],2000人以上,2018-03-09 14:36:24,朝阳区,本科,上市公司,开发/测试/运维类,"移动互联网,游戏",五险一金 补充医疗 免费三餐和班车,"['C++', 'Go']",Python 开发工程师,25k-35k,3-5年,,
5,北京作业盒子科技有限公司,北京,"['技能培训', '年底双薪', '节日礼物', '年度旅游']",500-2000人,2018-03-10 13:53:37,朝阳区,本科,C轮,开发/测试/运维类,"移动互联网,教育","大平台,技术牛,好前景,核心职位","['后端开发', '大数据', '数据挖掘']",python工程师,20k-40k,3-5年,,
6,深圳虾皮信息科技有限公司,深圳,"['定期体检', '通讯津贴', '带薪年假', '绩效奖金']",2000人以上,2018-03-09 12:10:13,南山区,本科,上市公司,开发/测试/运维类,电子商务,东南亚跨境电商平台、福利棒、美女多,"['后端开发', '全栈', 'MySQL']",Python开发工程师,15k-30k,1-3年,,
7,北京爱奇艺科技有限公司,北京,"['绩效奖金', '五险一金', '交通补助', '带薪年假']",2000人以上,2018-03-08 09:29:27,海淀区,硕士,D轮及以上,开发/测试/运维类,"广告营销,文化娱乐",14薪，12天带薪年假，地铁周边,"['云计算', '直播', '资深', '高级', 'django']",Python开发工程师,18k-28k,1-3年,,
8,北京三快在线科技有限公司,北京,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",2000人以上,2018-03-11 01:49:44,朝阳区,本科,D轮及以上,开发/测试/运维类,"移动互联网,O2O","优厚待遇,技术导向","['资深', '大数据', 'C++', 'Java']",服务端高级开发工程师Golang/Python,35k-45k,3-5年,,
9,北京市商汤科技开发有限公司,深圳,"['五险一金', '弹性工作', '丰盛三餐', '发展空间大']",500-2000人,2018-03-07 15:48:40,南山区,本科,B轮,开发/测试/运维类,移动互联网,"人工智能,福利好,技术大牛多,弹性工作","['高级', '大数据', 'Java']",Python开发工程师,15k-30k,3-5年,,
10,北京天下秀科技股份有限公司,北京,"['技能培训', '节日礼物', '绩效奖金', '年度旅游']",500-2000人,2018-03-05 13:43:03,朝阳区,本科,C轮,开发/测试/运维类,"移动互联网,广告营销","团队氛围好,五险一金,节日福利","['云计算', '中级']",Python开发工程师,18k-25k,1-3年,,
11,北京车之家信息技术有限公司,北京,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']",2000人以上,2018-03-01 15:35:13,海淀区,本科,上市公司,开发/测试/运维类,"移动互联网,文化娱乐",平台好，发展空间大,['golang'],Python开发工程师,15k-25k,3-5年,,
12,平安科技（深圳）有限公司,上海,"['节日礼物', '年度旅游', '岗位晋升', '技能培训']",2000人以上,2018-03-08 15:52:20,浦东新区,本科,不需要融资,开发/测试/运维类,金融,世界50强 节日福利 绩效丰厚,"['大数据', '数据挖掘']",Python开发工程师（上海）,15k-30k,不限,,
13,深圳市明源云客电子商务有限公司,深圳,"['高额六险一金', '年底双薪', '绩效奖金', 'N项经费']",2000人以上,2018-03-11 10:15:45,南山区,本科,上市公司,开发/测试/运维类,"移动互联网,企业服务",技术导向，牛人多，氛围赞，扁平管理,"['PHP', '大数据', 'Java', 'hadoop']",高级Python开发工程师,16k-22k,3-5年,,
14,腾讯科技(深圳)有限公司,深圳,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",2000人以上,2018-03-07 14:36:55,南山区,本科,上市公司,技术,"移动互联网 ,游戏",福利待遇优厚、大平台,[],Python开发工程师,15k-25k,3-5年,,
15,北京旷视科技有限公司,北京,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']",500-2000人,2018-03-09 18:05:07,海淀区,本科,C轮,开发/测试/运维类,"移动互联网,硬件","技术驱动,极客氛围,大牛团队","['中级', '后端', 'django']",Python工程师,20k-40k,1-3年,,
16,掌阅科技股份有限公司,北京,"['专项奖金', '带薪年假', '年度旅游', '扁平管理']",500-2000人,2018-03-09 21:07:33,朝阳区,本科,不需要融资,开发/测试/运维类,移动互联网,"扁平化管理,福利待遇佳,学习氛围好,晋升空间大","['云计算', 'Java', '架构']",高级Python研发工程师,25k-35k,3-5年,,
17,北京搜狗科技发展有限公司,北京,"['岗位晋升', '扁平管理', '管理规范', '精英团队']",2000人以上,2018-03-08 11:01:21,海淀区,本科,C轮,开发/测试/运维类,"移动互联网,数据服务",技术先进、团队气氛佳,"['信息安全', '硬件制造', 'Java', '运维']",技术工程部-python开发工程师,20k-40k,3-5年,,
18,深信服科技股份有限公司,北京,"['三餐全包', '大牛超多', '年终奖超多', '大公司，稳定']",2000人以上,2018-03-09 15:36:23,西城区,本科,不需要融资,开发/测试/运维类,"信息安全,企业服务",中国卓越雇主，扁平管理，有竞争力的薪资,"['信息安全', '资深', '架构师', 'Java', '架构']",Python开发工程师,12k-20k,1-3年,,
19,深圳市和讯华谷信息技术有限公司,深圳,"['五险一金', '文体活动', '团建旅游', '美味晚餐']",150-500人,2018-03-09 11:24:26,南山区,本科,D轮及以上,技术,"移动互联网,数据服务",五险一金、14薪/年、下午茶、工作餐等等,['云计算'],Python开发工程师,10k-20k,1-3年,,
20,先花信息技术（北京）有限公司,北京,"['股票期权', '年底双薪', '带薪年假', '功夫熊按摩']",150-500人,2018-03-08 14:47:00,海淀区,大专,B轮,开发/测试/运维类,"移动互联网,金融",带薪年假,"['大数据', 'Java']",python研发工程师,15k-20k,3-5年,,
21,北京轮子科技有限公司,北京,"['上升空间大', '人工智能', '柳青的同事', '高盛高管']",15-50人,2018-03-11 16:28:36,朝阳区,本科,A轮,开发/测试/运维类,"移动互联网,生活服务","国内最强,生活人工智,高盛高管,普林大神","['视频', '数据分析', '大数据', '算法', '机器学习']",Python工程师,15k-25k,1-3年,,
22,平安科技（深圳）有限公司,上海,"['节日礼物', '年度旅游', '岗位晋升', '技能培训']",2000人以上,2018-03-08 15:52:32,浦东新区,本科,不需要融资,开发/测试/运维类,金融,公司发展前景好，福利待遇好,"['金融', '大数据', '数据挖掘', '算法', '数据结构']",Python开发工程师（上海）,10k-15k,不限,,
23,北京嘉楠捷思信息技术有限公司,北京,"['带薪年假', '定期体检', '领导nice', '八险一金']",150-500人,2018-03-10 21:19:12,海淀区,本科,A轮,开发/测试/运维类,硬件,弹性,"['高级', '中级', 'Java', '架构']",python开发工程师,15k-20k,3-5年,,
24,深圳晶泰科技有限公司,深圳,"['节日礼物', '股票期权', '岗位晋升', '扁平管理']",50-150人,2018-03-09 10:49:53,福田区,本科,B轮,开发/测试/运维类,"企业服务,医疗健康","大牛多,公司氛围好,周末双休,成长快","['云计算', '后端开发', 'web', 'Go', 'django']",高级Python开发工程师,15k-23k,1-3年,,
25,北京国双科技有限公司,深圳,"['年度旅游', '节日礼物', '年底双薪', '带薪年假']",500-2000人,2018-03-10 18:23:10,福田区,本科,上市公司,开发/测试/运维类,"数据服务,企业服务",大数据上市公司 福利待遇好 成长空间大,"['全栈', 'GO', 'linux', '运维']",资深python开发工程师,15k-25k,5-10年,,
26,北京果壳互动科技传媒有限公司,北京,"['技能培训', '年度旅游', '岗位晋升', '家庭式三餐']",150-500人,2018-03-09 13:12:31,朝阳区,本科,C轮,开发/测试/运维类,"移动互联网,社交网络","八险一金,免费三餐,不加班,弹性工作",['大数据'],高级Python开发工程师,20k-40k,3-5年,,
27,上海贝涛金融信息服务有限公司,上海,"['节日礼物', '年底双薪', '专项奖金', '带薪年假']",50-150人,2018-03-09 11:38:42,徐汇区,本科,A轮,开发/测试/运维类,金融,"商业保险,年度旅游,带薪年病假,弹性工作","['金融', '后端开发', 'MySQL', 'redis', '架构']",高级Python研发工程师,15k-30k,3-5年,,
28,成都数联铭品科技有限公司,成都,"['带薪年假', '绩效奖金', '扁平管理', '定期体检']",150-500人,2018-03-07 14:59:05,高新区,本科,C轮,开发/测试/运维类,"电子商务,数据服务","五险一金,技术大牛,大数据,加班补贴","['软件开发', '大数据', 'Java']",中级Python工程师,10k-15k,3-5年,,
29,深圳虾皮信息科技有限公司,深圳,"['定期体检', '通讯津贴', '带薪年假', '绩效奖金']",2000人以上,2018-03-09 12:10:11,南山区,本科,上市公司,开发/测试/运维类,电子商务,东南亚跨境电商平台，发展非常迅速，求大牛,"['PHP', 'Ruby']",Python开发工程师（高级）,30k-50k,3-5年,,
30,深圳市和讯华谷信息技术有限公司,深圳,"['五险一金', '文体活动', '团建旅游', '美味晚餐']",150-500人,2018-03-09 11:24:27,南山区,本科,D轮及以上,技术,"移动互联网,数据服务",五险一金、14薪/年、下午茶、工作餐等等,"['云计算', 'linux', '云平台', 'django']",高级Python开发工程师,15k-25k,3-5年,,
31,深信服科技股份有限公司,深圳,"['三餐全包', '大牛超多', '年终奖超多', '大公司，稳定']",2000人以上,2018-03-08 10:14:44,南山区,本科,不需要融资,开发/测试/运维类,"信息安全,企业服务",扁平化管理 超多福利,"['高级', '中级', '初级', 'C/C++', 'linux']",Python开发工程师,10k-20k,不限,,
32,北京搜狗科技发展有限公司,北京,"['岗位晋升', '扁平管理', '管理规范', '精英团队']",2000人以上,2018-03-08 11:01:23,海淀区,本科,C轮,开发/测试/运维类,"移动互联网,数据服务",人工智能、最前沿技术能力、巨大成长空间,"['C++', 'Java', '算法']",搜狗AI云-Python开发工程师,15k-25k,1-3年,,
33,北京国双科技有限公司,深圳,"['年度旅游', '节日礼物', '年底双薪', '带薪年假']",500-2000人,2018-03-10 18:23:09,福田区,本科,上市公司,开发/测试/运维类,"数据服务,企业服务",大数据上市公司 福利待遇好 发展空间大,"['全栈', 'GO', 'linux', '运维']",高级python开发工程师,15k-20k,3-5年,,
34,掌阅科技股份有限公司,北京,"['专项奖金', '带薪年假', '年度旅游', '扁平管理']",500-2000人,2018-03-09 21:07:33,朝阳区,本科,不需要融资,技术,移动互联网,"管理扁平化,发展机会佳,薪资待遇好",['云计算'],Python研发工程师（中高级）,15k-25k,3-5年,,
35,北京字节跳动科技有限公司,北京,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",2000人以上,2018-02-26 22:56:50,海淀区,本科,C轮,开发/测试/运维类,"移动互联网,数据服务",六险一金，高薪期权，弹性工作，免费三餐，租房补贴，带薪休假，扁平管理，职业大牛，晋升空间,['后端开发'],Python 研发工程师,25k-45k,3-5年,,
36,北京旷视科技有限公司,北京,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']",500-2000人,2018-03-09 18:05:10,海淀区,本科,C轮,开发/测试/运维类,"移动互联网,硬件","人工智能,黑科技,大牛多","['Java', 'php', 'MySQL']",Python 高级开发工程师,20k-40k,3-5年,,
37,北京趣拿软件科技有限公司,北京,"['技能培训', '节日礼物', '带薪年假', '无息住房贷款']",2000人以上,2018-03-09 10:26:42,海淀区,本科,不需要融资,开发/测试/运维类,移动互联网,团队氛围融洽，帅哥美女多，年假多，年终奖,"['旅游', '软件开发', '大数据', '数据分析', '数据挖掘']",Python高级研发工程师-度假事业部(J11528),20k-40k,3-5年,,
38,青松智慧（北京）科技有限公司,郑州,"['股票期权', '带薪年假', '年度旅游', '扁平管理']",15-50人,2018-03-09 09:50:07,高新区,本科,B轮,开发/测试/运维类,"移动互联网,企业服务","五险一金,年度旅游,年度体检,餐补","['信息安全', '高级', '大数据', 'Java', '架构']",Python开发工程师,8k-10k,3-5年,,
39,北京优虎商务服务有限公司,北京,"['绩效奖金', '年底双薪', '带薪年假', '定期体检']",150-500人,2018-03-09 11:13:54,朝阳区,本科,B轮,开发/测试/运维类,"移动互联网,金融","带薪年假,六险一金,期权股票,大牛多多","['金融', '后端开发']",python开发工程师,20k-40k,1-3年,,
40,北京开拓天际科技有限公司,北京,"['年底双薪', '股票期权', '年终分红', '节日礼物']",50-150人,2018-03-10 10:02:36,海淀区,本科,A轮,开发/测试/运维类,"数据服务,信息安全","领导好,福利好,团队优秀",['django'],Python工程师,15k-23k,3-5年,,
41,高德软件有限公司,北京,"['弹性工作', '帅哥多', '美女多', '五险一金']",2000人以上,2018-02-24 14:33:21,朝阳区,本科,上市公司,开发/测试/运维类,移动互联网,阿里福利~,"['php', 'MySQL', 'golang']",python开发高级工程师,15k-30k,3-5年,,
42,北京小龙虾科技有限公司,北京,"['股票期权', '带薪年假', '扁平管理', '定期体检']",50-150人,2018-03-09 14:36:28,朝阳区,本科,B轮,开发/测试/运维类,"金融,数据服务","六险一金,灵活工作制,技术分享,晋升渠道","['金融', '信息安全', 'php', 'Java', 'docker']",Python系统开发工程师,15k-30k,1-3年,,
43,上海数禾信息科技有限公司,上海,"['股票期权', '通讯津贴', '交通补助', '午餐补助']",150-500人,2018-02-26 09:14:12,浦东新区,本科,不需要融资,技术,"移动互联网,金融",移动金融，未来金矿；精英团队，助力成长！,[],Python 开发工程师,10k-15k,1-3年,,
44,北京蚂蜂窝网络科技有限公司,北京,"['弹性工作', '扁平管理', '氛围好', '年度体检']",500-2000人,2018-03-10 18:50:15,朝阳区,本科,D轮及以上,开发/测试/运维类,"移动互联网,旅游",核心部门和岗位，股票期权,[],高级Python开发工程师,15k-30k,3-5年,,
45,深圳市和讯华谷信息技术有限公司,深圳,"['五险一金', '文体活动', '团建旅游', '美味晚餐']",150-500人,2018-03-09 11:24:27,南山区,本科,D轮及以上,技术,"移动互联网,数据服务",五险一金、14薪/年、下午茶、工作餐等等,[],Python开发工程师（中级）,10k-15k,1-3年,,
46,北京旷视科技有限公司,北京,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']",500-2000人,2018-03-09 18:05:06,海淀区,本科,C轮,开发/测试/运维类,"移动互联网,硬件","人工智能,黑科技,大牛多","['专家', 'Java']",高级Python开发工程师,20k-40k,3-5年,,
47,北京国双科技有限公司,深圳,"['年度旅游', '节日礼物', '年底双薪', '带薪年假']",500-2000人,2018-03-09 09:53:36,福田区,本科,上市公司,开发/测试/运维类,"数据服务,企业服务",弹性工作制 上市公司 氛围好 空间大,"['云计算', '爬虫', '后端', '运维', 'Node.js']",资深python研发工程师（深圳）,15k-25k,3-5年,,
48,北京爱奇艺科技有限公司,上海,"['绩效奖金', '五险一金', '交通补助', '带薪年假']",2000人以上,2018-03-08 17:59:50,长宁区,本科,D轮及以上,开发/测试/运维类,"广告营销,文化娱乐",发展前景好,"['flask', 'golang', 'django']",Python高级开发工程师,18k-30k,3-5年,,
49,平安科技（深圳）有限公司,深圳,"['节日礼物', '年度旅游', '岗位晋升', '技能培训']",2000人以上,2018-03-08 15:52:25,福田区,本科,不需要融资,开发/测试/运维类,金融,世界500强，丰厚奖金,"['资深', '高级', 'C++', 'Java']",Python开发工程师（深圳）,15k-30k,3-5年,,
50,上海航仕企业管理有限公司,深圳,"['年底双薪', '午餐补助', '专项奖金', '绩效奖金']",150-500人,2018-03-11 10:09:49,南山区,本科,C轮,技术,"移动互联网,O2O",BAT的薪资福利待遇，更有技术大牛传授技术,[],Python开发,20k-35k,3-5年,,
51,掌阅科技股份有限公司,北京,"['专项奖金', '带薪年假', '年度旅游', '扁平管理']",500-2000人,2018-03-09 21:07:33,朝阳区,本科,不需要融资,开发/测试/运维类,移动互联网,"一带一,实践机会,成长空间大","['初级', 'php', 'Java']",Python研发工程师（应届毕业生/实习生）,8k-15k,不限,,
52,在线途游（北京）科技有限公司,北京,"['股票期权', '专项奖金', '五险一金', '带薪年假']",150-500人,2018-03-10 17:08:47,朝阳区,本科,B轮,开发/测试/运维类,"移动互联网,游戏","施展空间大,季度奖,年终奖","['云计算', '高级', '运维']",python开发工程师,15k-25k,3-5年,,
53,上海进馨网络科技有限公司,上海,"['股票期权', '岗位晋升', '扁平管理', '五险一金']",50-150人,2018-03-10 09:47:59,浦东新区,本科,B轮,技术,"移动互联网,教育",发展前景大、工作氛围好、技术牛人多,"['云计算', 'linux', 'php', 'Java', 'Ruby']",Python开发工程师,15k-25k,3-5年,,
54,北京一人一亩田网络科技有限公司,北京,"['节日礼物', '年底双薪', '专项奖金', '股票期权']",150-500人,2018-03-09 11:22:41,海淀区,本科,C轮,开发/测试/运维类,"移动互联网,电子商务","临近地铁,大牛团队,六险一金,年终奖","['大数据', '数据挖掘', '人工智能', '算法', '挖掘']",python开发工程师,20k-36k,3-5年,,
55,腾讯科技(深圳)有限公司,深圳,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",2000人以上,2018-03-01 09:53:36,南山区,本科,上市公司,开发/测试/运维类,"移动互联网 ,游戏","五险一金,绩效奖金,带薪休假","['linux', '大数据', 'MySQL']",HY2-监控系统开发工程师-Python（深圳）,18k-30k,3-5年,,
56,武汉佰钧成技术有限责任公司,杭州,"['带薪年假', '计算机软件', '管理规范', '定期体检']",2000人以上,2018-03-09 16:46:14,西湖区,大专,不需要融资,开发/测试/运维类,移动互联网,"项目大,平台优,技术新,发展好","['云计算', '软件开发', '大数据', 'MySQL', '架构']",python开发,10k-20k,3-5年,,
57,长沙辰运软件有限公司,长沙,"['年底双薪', '技能培训', '绩效奖金', '年度旅游']",150-500人,2018-03-09 17:30:48,岳麓区,不限,不需要融资,开发/测试/运维类,移动互联网,"五险一金,年底双薪,交通补助,餐补",['云计算'],Python工程师,10k-15k,不限,,
58,上海帝联信息科技股份有限公司,南通,"['节日礼物', '技能培训', '带薪年假', '绩效奖金']",500-2000人,2018-03-09 14:27:40,崇川区,本科,D轮及以上,开发/测试/运维类,移动互联网,"领导好,有前景","['中级', 'linux']",python研发工程师,6k-11k,1-3年,,
59,上海海万信息科技股份有限公司,深圳,[],500-2000人,2018-03-11 13:07:08,福田区,本科,不需要融资,开发/测试/运维类,"移动互联网,金融","大平台,交通便利,环境优美,福利待遇好","['金融', 'linux', '数据分析', '数据挖掘', 'Djadgo']",Python工程师,10k-20k,1-3年,,
60,北京国双科技有限公司,北京,"['年度旅游', '节日礼物', '年底双薪', '带薪年假']",500-2000人,2018-03-09 09:53:37,海淀区,本科,上市公司,开发/测试/运维类,"数据服务,企业服务",上市公司 前景佳 氛围好 牛人多,['linux'],资深Python开发工程师（北京）,20k-30k,3-5年,,
61,武汉佰钧成技术有限责任公司,杭州,"['带薪年假', '计算机软件', '管理规范', '定期体检']",2000人以上,2018-03-09 11:24:04,余杭区,大专,不需要融资,开发/测试/运维类,移动互联网,"周末双休,六险一金,技术提升","['云计算', '资深', '高级', 'MySQL', 'redis']",python开发工程师,11k-20k,1-3年,,
62,光合新知（北京）科技有限公司,北京,"['产品领先行业', '关注学习本源', '明星跨界团队', '股票期权']",150-500人,2018-03-10 13:37:02,朝阳区,大专,C轮,开发/测试/运维类,"移动互联网,教育","年假15天,免费早午餐,弹性工作制,极客范儿","['教育', '高级', '中级', '服务器端', '全栈']",Python Web开发工程师,10k-20k,1-3年,,
63,北京慕华信息科技有限公司,北京,"['节日礼物', '股票期权', '带薪年假', '氛围轻松']",150-500人,2018-03-11 18:12:54,海淀区,本科,B轮,开发/测试/运维类,"移动互联网,教育","五险一金,餐补,生日会,优秀团队","['资深', '高级']",系统开发工程师（Python）,20k-30k,5-10年,,
64,北京春雨天下软件有限公司,北京,"['绩效奖金', '五险一金', '带薪年假', '定期体检']",150-500人,2018-03-08 18:24:13,海淀区,本科,C轮,技术,移动互联网,有挑战，自主加薪，技术氛围好,"['Java', 'redis', '移动医疗', '微服务', '服务器研发']",Python,20k-40k,3-5年,,
65,北京东方国信科技股份有限公司,北京,"['大数据软件', '技能培训', '节日礼物', '年底双薪']",2000人以上,2018-02-28 15:25:34,朝阳区,本科,上市公司,开发/测试/运维类,数据服务,"公司前景好,优秀团队,带薪年假",['后端开发'],Python开发工程师,18k-25k,5-10年,,
66,上海基分文化传播有限公司,上海,[],500-2000人,2018-03-11 16:13:48,浦东新区,大专,不需要融资,开发/测试/运维类,移动互联网,"平均16薪,技术驱动型,福利待遇好,发展空间大","['web', '架构师', '爬虫', '数据分析', '服务器端']",Python工程师,15k-30k,3-5年,,
67,北京云游九州空间科技有限公司,北京,"['股票期权', '专项奖金', '带薪年假', '定期体检']",15-50人,2018-03-11 10:49:41,海淀区,硕士,天使轮,开发/测试/运维类,数据服务、企业服务,"年度旅游,互联网平台,硬科技,弹性上班时","['地图', '算法', 'matlab', '地理信息系统']",Python工程师,10k-20k,1-3年,,
68,北京陌上花科技有限公司,北京,"['股票期权', '岗位晋升', '弹性工作', '绩效奖金']",50-150人,2018-03-09 10:30:06,海淀区,本科,B轮,开发/测试/运维类,移动互联网,"绩效奖金,弹性工作,技术大牛,晋升空间","['即时通讯', '资深', '高级', '中级', '后端开发']",Python开发工程师,15k-30k,3-5年,,
69,上海数禾信息科技有限公司,上海,"['股票期权', '通讯津贴', '交通补助', '午餐补助']",150-500人,2018-03-09 10:22:51,浦东新区,本科,不需要融资,开发/测试/运维类,"移动互联网,金融","移动金融,未来金矿,精英团队,助力成长","['金融', '软件开发']",Python 高级开发工程师,15k-30k,3-5年,,
70,万兴科技股份有限公司,深圳,"['股票期权', '骨干配车', '创业平台', '餐饮补助']",150-500人,2018-03-09 20:58:30,南山区,本科,B轮,开发/测试/运维类,移动互联网,"在线高并发,技术难度大,运维要求高","['Ruby', '系统架构', '系统开发']",Python开发工程师,10k-20k,3-5年,,
71,先花信息技术（北京）有限公司,北京,"['股票期权', '年底双薪', '带薪年假', '功夫熊按摩']",150-500人,2018-03-08 14:46:59,海淀区,不限,B轮,开发/测试/运维类,"移动互联网,金融","大牛云集,高速发展",[],Python中级工程师,15k-20k,3-5年,,
72,贵州电子商务云运营有限责任公司,贵阳,"['交通补助', '带薪年假', '绩效奖金', '通讯津贴']",50-150人,2018-03-09 17:02:14,观山湖区（金阳新区）,不限,未融资,开发/测试/运维类,"电子商务,数据服务","五险一金,餐补","['js', 'Java']",python工程师,10k-15k,不限,,
